kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60
16.4;0000-2400;;NOR;JXN Marine Norway;;NEu;no;1;;
18.2;0000-2400;;IND;VTX Indian Navy;;SAs;v;1;;
18.3;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
19.6;0000-2400;;G;GQD Anthorn;;WEu;an;1;;
19.8;0000-2400;;AUS;NWC US/Australian Navy;;Oc;ex;1;;
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
20.5;0541-0547;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
20.9;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
21.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
21.7;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
23;0535-0541;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
23.4;0000-2400;;D;DHO38 German Navy;;Eu;rf;1;;
23.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
24;0000-2400;;USA;NAA US Navy Cutler;;NAO;cu;1;;
24.8;0000-2400;;USA;NLK US Navy Jim Creek;;NAO;jc;1;;
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25;0500-0525;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.1;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.1;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.1;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.1;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.1;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.1;0525-0530;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.2;0000-2400;;USA;NML US Navy;;NAm;lm;1;;
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.5;0530-0535;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;[1218]
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;
45.9;0000-2400;;I;NSY Sicily;;SEu;sy;1;;
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;[1218]
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;
68.5;0000-2400;;CHN;BPC Time Signal;-TS;FE;sq;1;;
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;[1218]
129.1;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;
135.6;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;
139;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;
145;0000-2400;irr;E;Spanish Navy FSK;;Eu;gm;1;;
147.3;0000-2400;;D;DWD 2 Pinneberg RTTY;E;Eu;pi;1;;[1218]
153;0000-2400;1234567;ROU;Antena Satelor;RO;Eeu;bb;1;;
153;0100-0200;1234567;ALG;Radio Algerie Int.;ALG;ALG;b;1;;
153;0200-0100;1234567;ALG;Chaîne 1;ALG;ALG;b;1;;
153;0000-2400;1234567;NOR;NRK P1;NO;NOR;;1;;
164;2200-1500;1234567;MNG;Mongolian Radio 1;MO;As;u;1;;
171;0000-2400;;MRC;Medi 1;A,F;NAf;n;1;;[1018]
183;0000-2400;1234567;D;Europe 1;F;F;fl;1;;
189;0000-2400;1234567;ISL;Rikisutvarpid Ras 1+2;IS;ISL;gu;1;;
198;0100-0600;1234567;G;BBC World Service;E;G;d;1;;
198;0600-0100;1234567;G;BBC R4;E;G;d;1;;
198;0000-2400;1234567;ALG;R.Algerienne Chaine 1;A;ALG;o;1;;
207;0000-2400;1234567;ISL;Rikisutvarpid Ras 1+2;IS;ISL;gu;1;;
207;0000-2400;1234567;MRC;SNRT Al-Idaa al-Watania;A;MRC;ad;1;;
209;2200-1500;1234567;MNG;Mongolian Radio 1;MO;MNG;c;1;;
216;0330-2305;1234567;F;Radio Monte Carlo;F;F;ro;1;;
225;1740-1755;;CVA;Radio Vaticana;PO;Eu;/POL-sk;2;;
225;1755-1740;;POL;Polskie Radio 1;PO;Eu;sk;2;;
227;2200-1500;1234567;MNG;Mongolian Radio 1;MO;MNG;a;1;;
234;0000-2400;1234567;LUX;Radio Luxembourg;F;LUX;b;1;;
243;0442-0505;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0657-0805;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;1042-1115;;DNK;Danmarks Radio;DA;NEu;k;2;;[0219]
243;1642-1720;;DNK;Danmarks Radio;DA;NEu;k;2;;[0219]
252;0000-2400;1234567;IRL;RTE Radio 1;E;IRL;c;1;;
252;0000-2400;1234567;ALG;Chaîne 3;ALG;ALG;;1;;
270;0400-2300;1234567;CZE;Cesky rozhlas 1;CZ;CZE;t;1;;
279;0000-2400;1234567;TKM;Turkmen Radio 1;TK;TKM;a;1;;
426;1800-2400;Sa;USA;KPH Point Reyes, CA;-CW;WNA;pr;2;;
