10000;1400-1500;Mo-Fr;ARG;LOL Buenos Aires;-TS;ARG;b;1;;
10000;0000-2400;;B;PPE Observatorio Nac.;-TS;B;ro;1;;
10000;0000-2400;;CHN;BPM Xian;-TS;CHN;p;1;;
10000;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;c;1;;
10000;0000-2400;;I;ItalCable;-TS;SEu;v;6;2603;3009
10000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fc;1;;
10018;0000-2400;;IND;Mumbai Radio;E;SAs;;1;;[0717]
10024;0000-2400;;HND;COCESNA Cenamer Control;E;CAm;;1;;[0616]
10048;0000-2400;;J;Tokyo Radio;E;FE;;1;;
10048;0000-2400;;USA;San Francisco Radio NP1;E;NOc;/ALS-ba;1;;[0417]
10048;0000-2400;;USA;San Francisco Radio NP1;E;NOc;/HWA-m;1;;
10051;0000-2400;;CAN;Gander Volmet x20,x50;E;NAm;g;1;;[0717]
10051;0000-2400;;USA;New York Volmet x00,x30;E;NAm;bg;1;;[0517]
10057;0000-2400;;USA;San Francisco Radio 3;E;EOc;dx;1;;[0315]
10066;0000-2400;;BGD;Dhaka Radio;E;SAs;;1;;
10066;0000-2400;;IND;Kolkata Radio;E;SAs;;1;;
10066;0000-2400;;MYA;Yangon Radio;E;SEA;;1;;
10084;0000-2400;;IND;Delhi Radio;E;SAs;;1;;
10084;0000-2400;;IND;Mumbai Radio;E;SAs;;1;;
10100.8;0000-2400;;D;DDK9 DWD Pinneberg RTTY;E;Eu;pi;1;;[0817]
10115;0000-2400;;CHN;BAF Beijing Meteo Fax;;FE;bm;1;;
10125;0820-0830;Mo,Th;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[1215]
10148;0610-0620;Fr;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;103;3004[0414]
10148;0610-0620;Fr;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;109;3110[1014]
10186;1900-1910;Fr;RUS;G06 Russian Spy Numbers;D;RUS;xx;1;105;3108[0814]
10195.2;0000-2400;;HOL;PBB Dutch Navy Stanag;;Eu;cg;1;;[0616]
10210;1015-1025;Mo,Th;POL;S11 Polish Spy Numbers;R;;p;1;105;3108[0817]
10213;0530-0540;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0414]
10213;0530-0540;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[1014]
10213;0600-0610;Mo;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0517]
10213;0745-0755;Mo;POL;E11 Polish Spy Numbers;E;;p;1;109;3004[0417]
10213;0930-0940;We,Th;POL;E11 Polish Spy Numbers;E;;p;1;105;3108[0516]
10213;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;103;3004[0417]
10213;1705-1715;We,Sa;POL;E11 Polish Spy Numbers;E;;p;1;109;3110[0915]
10213;1810-1820;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;111;2802[0215]
10230;1200-1210;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0817]
10250;1210-1220;Sa;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;105;3108[0814]
10255;1554-1630;;VTN;Vietnamese Spy Numbers;VN;FE;xx;1;;[0316]
